"","Soybean Oil","CPO","Canola","Soybean","Soybean Meal","Rapeseed Meal","EPU","FROM"
"Soybean Oil","53.93","10.26","14.89","14.63"," 3.33"," 1.62"," 1.34","46.07"
"CPO","16.52","64.69"," 6.89"," 5.36"," 2.57"," 2.29"," 1.68","35.31"
"Canola","14.87"," 4.59","53.17","15.75"," 8.43"," 1.86"," 1.32","46.83"
"Soybean","11.89"," 2.55","13.10","42.91","26.27"," 1.82"," 1.45","57.09"
"Soybean Meal"," 3.21"," 1.63"," 8.25","31.32","51.87"," 2.18"," 1.53","48.13"
"Rapeseed Meal"," 3.66"," 2.55"," 4.50"," 7.91"," 6.52","73.38"," 1.48","26.62"
"EPU"," 1.70"," 1.91"," 1.93"," 2.21"," 2.41"," 1.54","88.30","11.70"
"TO"," 51.86"," 23.49"," 49.56"," 77.18"," 49.54"," 11.32","  8.80","271.75"
"Inc.Own","105.78"," 88.17","102.73","120.10","101.41"," 84.70"," 97.10","cTCI/TCI"
"NET","  5.78","-11.83","  2.73"," 20.10","  1.41","-15.30"," -2.90","45.29/38.82"
"NPT","3.00","2.00","4.00","6.00","5.00","1.00","0.00",""
