"","Soybean Oil","CPO","Canola","Soybean","Soybean Meal","Rapeseed Meal","FROM"
"Soybean Oil","54.31","10.16","15.16","15.04"," 3.79"," 1.54","45.69"
"CPO","16.55","65.94"," 7.01"," 5.50"," 2.73"," 2.26","34.06"
"Canola","15.22"," 4.63","53.78","16.09"," 8.61"," 1.67","46.22"
"Soybean","12.23"," 2.59","13.36","43.32","26.77"," 1.73","56.68"
"Soybean Meal"," 3.40"," 1.68"," 8.41","31.94","52.42"," 2.15","47.58"
"Rapeseed Meal"," 3.60"," 2.60"," 4.42"," 7.89"," 6.68","74.81","25.19"
"TO"," 50.99"," 21.66"," 48.37"," 76.45"," 48.58","  9.36","255.42"
"Inc.Own","105.30"," 87.61","102.15","119.77","101.00"," 84.17","cTCI/TCI"
"NET","  5.30","-12.39","  2.15"," 19.77","  1.00","-15.83","51.08/42.57"
"NPT","3.00","1.00","2.00","5.00","4.00","0.00",""
